Year,Make,Model,Trim,Shape,Transmission,Drive Type,img_url,Monthly Payment,Lease Term,Down Payment,Type,Zip Code,Offer Ends,Offer Link
2022,Acura,MDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$469,36,"$4,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2022,Acura,MDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$489,36,"$4,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2020,Acura,MDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$369,36,"$2,499",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2020,Acura,MDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2022/Current_Offers_3-4view_for_Lease_Finance_offers_tab.jpg,$369,36,"$2,999",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,ILX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/payment-estimator/ILX/2021/2021_Acura_ILX_Shopping_Tools_and_Jellybeans_CurrentOffers_BaseModels_ILX.jpg,$239,36,"$2,799",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,RDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/2020-ShoppingTools-CurrentOffers-BaseModels-RDX.jpg,$409,36,"$2,999",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,RDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/2020-ShoppingTools-CurrentOffers-BaseModels-RDX.jpg,$429,36,"$3,299",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,RDX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/2020-ShoppingTools-CurrentOffers-BaseModels-RDX.jpg,$369,36,"$2,799",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,RDX,,,Automatic,AWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/2020-ShoppingTools-CurrentOffers-BaseModels-RDX.jpg,$389,36,"$3,099",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,Acura,TLX,,,Automatic,FWD,https://www.acura.com/-/media/Acura-Platform/Non-Vehicle-Pages/shopping-tools/offers/Current-Offers/2021/2021_Acura_TLX_Shopping_Tools_and_Jellybeans_CurrentOffers_Lease_FinanceOffers_BaseModels.jpg,$369,36,"$3,899",Lease,98011,07/06/21,https://www.acura.com/tools/current-luxury-car-suv-offers-leasing?zipcode=98011
2021,INFINITI,Qx50,PURE,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$359,39,"$3,799",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/crossovers/qx50/deals-incentives-offers.html
2021,INFINITI,Qx50,PURE,,Automatic,AWD,https://www.infinitiusa.com/deals/img/gif.gif,$389,39,"$3,799",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/crossovers/qx50/deals-incentives-offers.html
2021,INFINITI,Qx50,ESSENTIAL,,Automatic,AWD,https://www.infinitiusa.com/offers/static/permalink/v1/1/2925/document/JELLYBEANS_20_QX50_DESKTOP.jpg?token=ZEnbITocM81vaQJtvjDpaOBj3Xi8WgM76z4UxWqCAkEWV6jchNzgtBdWDzptm66s,$429,39,"$4,299",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/crossovers/qx50/deals-incentives-offers.html
2021,INFINITI,Qx80,LUXE,,Automatic,4WD,https://www.infinitiusa.com/offers/static/permalink/v1/1/2927/document/JELLYBEANS_21_QX80_DESKTOP.jpg?token=ihkqD6y73N3Llc5qMMTf19LMr6sihla6gJ1wWbJmrR4FFZGo3a3WtGUTIXz0yoC2,$799,39,"$6,799",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/suvs/qx80/deals-incentives-offers.html
2021,INFINITI,Qx80,Premium,,Automatic,4WD,https://www.infinitiusa.com/offers/static/permalink/v1/1/2927/document/JELLYBEANS_21_QX80_DESKTOP.jpg?token=ihkqD6y73N3Llc5qMMTf19LMr6sihla6gJ1wWbJmrR4FFZGo3a3WtGUTIXz0yoC2,$859,39,"$6,799",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/suvs/qx80/deals-incentives-offers.html
2021,INFINITI,Qx80,Sensory,,Automatic,4WD,https://www.infinitiusa.com/offers/static/permalink/v1/1/2927/document/JELLYBEANS_21_QX80_DESKTOP.jpg?token=ihkqD6y73N3Llc5qMMTf19LMr6sihla6gJ1wWbJmrR4FFZGo3a3WtGUTIXz0yoC2,$959,39,"$6,799",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/suvs/qx80/deals-incentives-offers.html
2021,INFINITI,Q50,LUXE,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$359,39,"$4,929",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/sedans/q50/deals-incentives-offers.html
2021,INFINITI,Q50,Sensory,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$419,39,"$5,229",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/sedans/q50/deals-incentives-offers.html
2021,INFINITI,Q50,RED SPORT 400,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$449,39,"$6,329",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/sedans/q50/deals-incentives-offers.html
2021,INFINITI,Q60,Pure,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$439,39,"$4,599",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/coupes/q60/deals-incentives-offers.html
2021,INFINITI,Q60,Luxe,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$559,39,"$4,499",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/coupes/q60/deals-incentives-offers.html
2021,INFINITI,Q60,RED SPORT 400,,Automatic,RWD,https://www.infinitiusa.com/deals/img/gif.gif,$589,39,"$5,199",Lease,98011,06/01/2021,https://www.infinitiusa.com/vehicles/coupes/q60/deals-incentives-offers.html
2021,Mercedes,A 220,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$369,36,"$3,663",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,A 220,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$389,36,"$3,783",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,A 35,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$519,36,"$4,613",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLA 250,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$399,36,"$4,193",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLA 250,,Coupe,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$419,36,"$4,363",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLA 35,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$549,36,"$4,643",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLA 45,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$699,36,"$5,393",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$449,36,"$4,243",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$579,36,"$4,673",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Cabriolet,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$659,36,"$5,313",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$469,36,"$4,463",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 43,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$609,36,"$5,503",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,C 300,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$439,36,"$4,233",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,C 300,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$459,36,"$4,453",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,C 43,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$569,36,"$5,235",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,C 63,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$849,36,"$6,193",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,C 63 S,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$999,36,"$7,093",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Coupe,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$599,36,"$4,793",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 43,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$709,36,"$5,223",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 300,,Cabriolet,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$679,36,"$5,473",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,C 43,,Cabriolet,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$799,36,"$6,093",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 350,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$579,36,"$5,323",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 450,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$729,36,"$6,053",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 450,,Cabriolet,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$829,36,"$6,623",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 350,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$599,36,"$5,453",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 450,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$729,36,"$5,923",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 450,,Coupe,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$749,36,"$6,243",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,E 450,,Cabriolet,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$849,36,"$6,843",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,S 450,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$959,36,"$8,593",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,S 450,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$999,36,"$9,183",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,S 560,,Sedan,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,"$1,249",36,"$9,613",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2020,Mercedes,S 560,,Sedan,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,"$1,319",36,"$9,833",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLS 450,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$859,36,"$6,853",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLS 450,,Coupe,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$889,36,"$6,983",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,CLS 53,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,"$1,019",36,"$7,613",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLA 250,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$399,36,"$4,003",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLA 250,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$419,36,"$4,063",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLA 35,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$549,36,"$4,643",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLA 45,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$659,36,"$5,253",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLB 250,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$429,36,"$4,223",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLB 250,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$449,36,"$4,393",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLB 35,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$559,36,"$4,753",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLC 300,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$479,36,"$4,373",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLC 300,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$499,36,"$4,493",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLC 43,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$719,36,"$5,713",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLC 300,,Coupe,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$639,36,"$4,603",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLC 43,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$799,36,"$6,053",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 350,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$729,36,"$4,153",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 350,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$749,36,"$4,743",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 450,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$819,36,"$5,013",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 580,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,"$1,069",36,"$6,863",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 53,,SUV,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$899,36,"$6,093",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLE 53,,Coupe,Automatic,RWD,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$939,36,"$6,323",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
2021,Mercedes,GLS 450,,SUV,Automatic,4MATIC,https://www.mbusa.com/etc/designs/mb-nafta/images/blank.gif,$999,36,"$4,993",Lease,98011,06/01/2021,https://www.mbusa.com/en/special-offers
